img_path,view,class,fv_path
SatView/Images/stadium/stadium_285.jpg,sat,stadium,SatView/Features/stadium_285.npy
SatView/Images/ship/ship_191.jpg,sat,ship,SatView/Features/ship_191.npy
SatView/Images/ship/ship_070.jpg,sat,ship,SatView/Features/ship_070.npy
StreetView/Images/stadium/33080359_333f0e95af_o.jpg,str,stadium,StreetView/Features/33080359_333f0e95af_o.npy
StreetView/Images/palace/4822142388_483a9e454f_o.jpg,str,palace,StreetView/Features/4822142388_483a9e454f_o.npy
SatView/Images/ship/ship_169.jpg,sat,ship,SatView/Features/ship_169.npy
StreetView/Images/river/16787120161_688abf00bf_o.jpg,str,river,StreetView/Features/16787120161_688abf00bf_o.npy
StreetView/Images/river/5356815972_051a318b1f_o.jpg,str,river,StreetView/Features/5356815972_051a318b1f_o.npy
StreetView/Images/stadium/3998614003_0c362175a5_o.jpg,str,stadium,StreetView/Features/3998614003_0c362175a5_o.npy
StreetView/Images/ship/3105387354_7c4cc7bb0f_o.jpg,str,ship,StreetView/Features/3105387354_7c4cc7bb0f_o.npy
StreetView/Images/river/5436698563_a3ff3f1ac8_o.jpg,str,river,StreetView/Features/5436698563_a3ff3f1ac8_o.npy
SatView/Images/freeway/freeway_391.jpg,sat,freeway,SatView/Features/freeway_391.npy
StreetView/Images/ship/32535102382_7ac207a94e_o.jpg,str,ship,StreetView/Features/32535102382_7ac207a94e_o.npy
StreetView/Images/freeway/42884132104_6da707f21d_o.jpg,str,freeway,StreetView/Features/42884132104_6da707f21d_o.npy
StreetView/Images/stadium/6451872401_228b744b6d_o.jpg,str,stadium,StreetView/Features/6451872401_228b744b6d_o.npy
StreetView/Images/mountain/7515680242_0a6a37c02c_o.jpg,str,mountain,StreetView/Features/7515680242_0a6a37c02c_o.npy
SatView/Images/river/river_116.jpg,sat,river,SatView/Features/river_116.npy
StreetView/Images/mountain/39247547945_0f558107de_o.jpg,str,mountain,StreetView/Features/39247547945_0f558107de_o.npy
SatView/Images/stadium/stadium_652.jpg,sat,stadium,SatView/Features/stadium_652.npy
StreetView/Images/river/33121513034_b0df80bc55_o.jpg,str,river,StreetView/Features/33121513034_b0df80bc55_o.npy
StreetView/Images/ship/33405798391_21846e0316_o.jpg,str,ship,StreetView/Features/33405798391_21846e0316_o.npy
SatView/Images/stadium/stadium_113.jpg,sat,stadium,SatView/Features/stadium_113.npy
SatView/Images/mountain/mountain_190.jpg,sat,mountain,SatView/Features/mountain_190.npy
StreetView/Images/stadium/4923081504_50b7e7c3ed_o.jpg,str,stadium,StreetView/Features/4923081504_50b7e7c3ed_o.npy
SatView/Images/freeway/freeway_169.jpg,sat,freeway,SatView/Features/freeway_169.npy
StreetView/Images/ship/37724200456_962eda3be0_o.jpg,str,ship,StreetView/Features/37724200456_962eda3be0_o.npy
StreetView/Images/ship/26684284628_cfb5730733_o.jpg,str,ship,StreetView/Features/26684284628_cfb5730733_o.npy
StreetView/Images/stadium/25339672_96aa6a9c40_o.jpg,str,stadium,StreetView/Features/25339672_96aa6a9c40_o.npy
StreetView/Images/mountain/2328675849_b2b51df5c5_o.jpg,str,mountain,StreetView/Features/2328675849_b2b51df5c5_o.npy
StreetView/Images/mountain/9766149804_441d78718c_o.jpg,str,mountain,StreetView/Features/9766149804_441d78718c_o.npy
SatView/Images/palace/palace_305.jpg,sat,palace,SatView/Features/palace_305.npy
